u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
1574729709,1584894925,0,145023989,False,양덕로,tertiary,56.889,"LINESTRING (129.4020227 36.0786602, 129.4020175 36.0791718)",,,,,,
1574729709,4635134634,0,143914408,False,양덕남로,tertiary,158.712,"LINESTRING (129.4020227 36.0786602, 129.4028287 36.0786891, 129.4037857 36.0787421)",,,,,,
1574729709,7796996794,0,469086285,False,,residential,221.53,"LINESTRING (129.4020227 36.0786602, 129.4021214 36.0781466, 129.4023167 36.0776371, 129.4023824 36.0774399, 129.4018905 36.0773479, 129.4018295 36.0771967, 129.4018561 36.0770303)",,,,,,
1574729725,1574729737,0,143914400,False,장량로226번길,residential,54.267,"LINESTRING (129.4054769 36.0788972, 129.4053367 36.0793719)",,,,,,
1574729725,1584894929,0,143914408,False,양덕남로,tertiary,223.511,"LINESTRING (129.4054769 36.0788972, 129.405624 36.0789235, 129.4078465 36.079506)",,,,,,
1574729725,4635134634,0,143914408,False,양덕남로,tertiary,153.329,"LINESTRING (129.4054769 36.0788972, 129.4049329 36.0788082, 129.4043093 36.0787529, 129.4037857 36.0787421)",,,,,,
1574729729,4634113422,0,550157404,False,장성로,secondary,52.741,"LINESTRING (129.3923103 36.079243, 129.3923425 36.0787694)",,,,,,
1574729729,5313891354,0,143914403,False,,residential,55.955999999999996,"LINESTRING (129.3923103 36.079243, 129.3927273 36.0792784, 129.3929306 36.0792822)",,,,,,
1574729729,1574718244,0,550157404,False,장성로,secondary,163.307,"LINESTRING (129.3923103 36.079243, 129.3921974 36.0801011, 129.3921347 36.0807047)",,,,,,
1574729736,5313891351,0,143914403,False,,residential,87.815,"LINESTRING (129.3944097 36.079277, 129.3934326 36.0792685)",,,,,,
1574729736,5313891353,0,143914403,False,,residential,157.095,"LINESTRING (129.3944097 36.079277, 129.3961574 36.0792483)",,,,,,
1574729736,1574729738,0,143914404,False,장량로128번길,residential,46.292,"LINESTRING (129.3944097 36.079277, 129.394372 36.0796922)",,,,,,
1574729736,1574729702,0,143914404,False,장량로128번길,residential,100.939,"LINESTRING (129.3944097 36.079277, 129.3944233 36.0783693)",,,,,,
1574729737,1574729725,0,143914400,False,장량로226번길,residential,54.267,"LINESTRING (129.4053367 36.0793719, 129.4054769 36.0788972)",,,,,,
1574729737,4634147413,0,145023973,False,양덕로6번길,residential,120.265,"LINESTRING (129.4053367 36.0793719, 129.4066037 36.0797201)",,,,,,
1574729737,4635134633,0,145023973,False,양덕로6번길,residential,144.592,"LINESTRING (129.4053367 36.0793719, 129.4037351 36.0792479)",,,,,,
1574729737,1574729756,0,143914400,False,장량로226번길,residential,71.19500000000001,"LINESTRING (129.4053367 36.0793719, 129.4053136 36.0798899, 129.4053098 36.0800118)",,,,,,
1574729738,1574729742,0,143914398,False,,residential,132.962,"LINESTRING (129.394372 36.0796922, 129.3928925 36.0796993)",,,,,,
1574729738,1574729740,0,143914398,False,,residential,161.322,"LINESTRING (129.394372 36.0796922, 129.396167 36.0796765)",,,,,,
1574729738,1574729736,0,143914404,False,장량로128번길,residential,46.292,"LINESTRING (129.394372 36.0796922, 129.3944097 36.079277)",,,,,,
1574729738,1574718222,0,143914404,False,장량로128번길,residential,57.478,"LINESTRING (129.394372 36.0796922, 129.3943721 36.0800788, 129.3943704 36.0802091)",,,,,,
1574729740,1574729738,0,143914398,False,,residential,161.322,"LINESTRING (129.396167 36.0796765, 129.394372 36.0796922)",,,,,,
1574729740,4634113406,0,143914398,False,,residential,68.248,"LINESTRING (129.396167 36.0796765, 129.3969264 36.0796712)",,,,,,
1574729740,5313891353,0,468979123,False,장량로140번길,residential,47.622,"LINESTRING (129.396167 36.0796765, 129.3961574 36.0792483)",,,,,,
1574729740,5313891359,0,468979123,False,장량로140번길,residential,56.19800000000001,"LINESTRING (129.396167 36.0796765, 129.3961681 36.0799935, 129.3961013 36.080174)",,,,,,
1574729742,5313891354,0,143910578,False,장량로114번길,residential,46.506,"LINESTRING (129.3928925 36.0796993, 129.3929306 36.0792822)",,,,,,
1574729742,1574718223,0,143910578,False,장량로114번길,residential,56.016,"LINESTRING (129.3928925 36.0796993, 129.3928466 36.0802017)",,,,,,
1574729742,1574729738,0,143914398,False,,residential,132.962,"LINESTRING (129.3928925 36.0796993, 129.394372 36.0796922)",,,,,,
1574729756,1584894986,0,143914400,False,장량로226번길,residential,143.753,"LINESTRING (129.4053098 36.0800118, 129.40527 36.0813042)",,,,,,
1574729756,4634147417,0,468985459,False,,residential,56.461,"LINESTRING (129.4053098 36.0800118, 129.4059203 36.0801317)",,,,,,
1574729756,1574729737,0,143914400,False,장량로226번길,residential,71.19500000000001,"LINESTRING (129.4053098 36.0800118, 129.4053136 36.0798899, 129.4053367 36.0793719)",,,,,,
1574729761,1584895011,0,145024008,False,장량로,secondary,153.116,"LINESTRING (129.4019912 36.0818465, 129.4036945 36.0818812)",,,,,,
1574729761,1584895010,0,145024008,False,장량로,secondary,65.872,"LINESTRING (129.4019912 36.0818465, 129.4012582 36.0818438)",,,,,,
1574729761,4634147430,0,594267296,False,양덕로,secondary,73.735,"LINESTRING (129.4019912 36.0818465, 129.4019972 36.0825096)",,,,,,
1574729761,1584894980,0,145023989,False,양덕로,tertiary,68.044,"LINESTRING (129.4019912 36.0818465, 129.4019688 36.0814399, 129.4019728 36.081235)",,,,,,
1574729763,1584894986,0,143914400,False,장량로226번길,residential,65.174,"LINESTRING (129.4053035 36.0818897, 129.40527 36.0813042)",,,,,,
